"model","mixture_set","mixture_components","outcome","n","beta","se","statistic","p","error","q"
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","msi_core_partial",1313,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","msi_core_partial",1313,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","msi_no_bmi",1306,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","msi_no_bmi",1306,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","msi_no_bmi",1306,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","msi_no_bmi",1306,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","ln_HOMA_IR",1292,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","HbA1c",2671,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","HbA1c",2671,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","HbA1c",2671,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","HbA1c",2671,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","TyG",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","TyG",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","TyG",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","TyG",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","ln_TG_HDL",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","ln_TG_HDL",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","ln_TG_HDL",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
"R_gWQS_positive","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","ln_TG_HDL",1279,NA,NA,NA,NA,"Skipped in fast rerun because weighted gWQS exceeded interactive runtime; existing Python repeated-holdout WQS remains available and this block can be enabled by setting run_gwqs_fast <- TRUE.",NA
