table,rows,columns,csv_path,md_path,csv_bytes
SupplementaryTable11_MSI_Scaler_Weights_Correlations,92,18,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable11_MSI_Scaler_Weights_Correlations.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable11_MSI_Scaler_Weights_Correlations.md,9089
SupplementaryTable12_CGMacros_Subject_PPGR,40,12,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable12_CGMacros_Subject_PPGR.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable12_CGMacros_Subject_PPGR.md,5821
SupplementaryTable13_CGMacros_MealLevel_Models,234,21,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable13_CGMacros_MealLevel_Models.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable13_CGMacros_MealLevel_Models.md,68249
SupplementaryTable14_CGMacros_Bootstrap_Influence,252,14,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable14_CGMacros_Bootstrap_Influence.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable14_CGMacros_Bootstrap_Influence.md,30448
SupplementaryTable15_HighResponse_Definition,12,6,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable15_HighResponse_Definition.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable15_HighResponse_Definition.md,883
SupplementaryTable16_FoodMatrix_Annotation_Features,1498,28,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable16_FoodMatrix_Annotation_Features.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable16_FoodMatrix_Annotation_Features.md,330955
SupplementaryTable17_FoodMatrix_PPGR_Models,40,15,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable17_FoodMatrix_PPGR_Models.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable17_FoodMatrix_PPGR_Models.md,9100
SupplementaryTable18_CGM_Curve_Features_Models,1600,35,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable18_CGM_Curve_Features_Models.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable18_CGM_Curve_Features_Models.md,380430
SupplementaryTable19_Prediction_Performance_Calibration_Conformal,96,25,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable19_Prediction_Performance_Calibration_Conformal.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable19_Prediction_Performance_Calibration_Conformal.md,13933
SupplementaryTable20_Prediction_Leakage_Predictors,126,9,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable20_Prediction_Leakage_Predictors.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable20_Prediction_Leakage_Predictors.md,11109
SupplementaryTable21_Prediction_By_MSI,24,15,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable21_Prediction_By_MSI.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable21_Prediction_By_MSI.md,5407
SupplementaryTable22_Counterfactual_Meal_Redesign,816,28,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable22_Counterfactual_Meal_Redesign.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable22_Counterfactual_Meal_Redesign.md,211870
SupplementaryTable23_External_Transportability_Map,9,10,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable23_External_Transportability_Map.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable23_External_Transportability_Map.md,1295
SupplementaryTable24_External_DomainShift_Macro,32,20,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable24_External_DomainShift_Macro.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable24_External_DomainShift_Macro.md,6060
SupplementaryTable25_Mechanism_KG_Pathways,147,11,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable25_Mechanism_KG_Pathways.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable25_Mechanism_KG_Pathways.md,23929
SupplementaryTable26_Literature_Evidence_Gaps,24,12,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable26_Literature_Evidence_Gaps.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable26_Literature_Evidence_Gaps.md,7597
SupplementaryTable27_Reproducibility_Manifest,43,6,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable27_Reproducibility_Manifest.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable27_Reproducibility_Manifest.md,9331
SupplementaryTable28_Display_SourceData_Map,60,7,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable28_Display_SourceData_Map.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable28_Display_SourceData_Map.md,13551
SupplementaryTable29_Reviewer_Response_Matrix,10,5,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable29_Reviewer_Response_Matrix.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable29_Reviewer_Response_Matrix.md,1630
SupplementaryTable30_Production_Priority_Tracker,25,6,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable30_Production_Priority_Tracker.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable30_Production_Priority_Tracker.md,5311
