source_table,component,reference_dataset,winsor_p01,winsor_p99,mean_after_winsor,sd_after_winsor,n_reference_nonmissing,dataset,n_nonmissing,n_missing,pct_nonmissing,weight,msi_a,msi_b,n_pairwise,pearson,spearman
msi_corr,,,,,,,,CGMacros,,,,,msi_no_bmi,msi_ir_lipid,40.0,0.8767643714575832,0.8840525328330208
msi_corr,,,,,,,,CGMacros,,,,,msi_no_bmi,msi_pca,40.0,0.9860402250985526,0.9825515947467168
msi_corr,,,,,,,,CGMacros,,,,,msi_no_bmi,homa_ir_single,40.0,0.8217418721593504,0.8392120075046905
msi_corr,,,,,,,,CGMacros,,,,,msi_no_bmi,tg_hdl_single,40.0,0.7665050730551867,0.7787992495309569
msi_corr,,,,,,,,CGMacros,,,,,msi_glycemia_ir,msi_ir_lipid,40.0,0.7446288954051034,0.7574108818011259
msi_corr,,,,,,,,CGMacros,,,,,msi_glycemia_ir,msi_pca,40.0,0.9575531488892896,0.948968105065666
msi_corr,,,,,,,,CGMacros,,,,,msi_glycemia_ir,homa_ir_single,40.0,0.7905550966133134,0.7992495309568481
msi_corr,,,,,,,,CGMacros,,,,,msi_glycemia_ir,tg_hdl_single,40.0,0.5678111953414982,0.6093808630393998
msi_corr,,,,,,,,CGMacros,,,,,msi_ir_lipid,msi_pca,40.0,0.8805922070911375,0.8735459662288932
msi_corr,,,,,,,,CGMacros,,,,,msi_ir_lipid,homa_ir_single,40.0,0.8925265832128286,0.877485928705441
msi_corr,,,,,,,,CGMacros,,,,,msi_ir_lipid,tg_hdl_single,40.0,0.914384411016114,0.9392120075046908
msi_corr,,,,,,,,CGMacros,,,,,msi_pca,homa_ir_single,40.0,0.8600927212468568,0.8589118198874298
msi_corr,,,,,,,,CGMacros,,,,,msi_pca,tg_hdl_single,40.0,0.738645420150098,0.7491557223264541
msi_corr,,,,,,,,CGMacros,,,,,homa_ir_single,tg_hdl_single,40.0,0.6335284765113617,0.7054409005628518
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_core_complete,2368.0,1.0,1.0
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_ranknorm,2491.0,0.9514159797424384,0.982126830272479
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_no_bmi,2466.0,0.9663848669034738,0.9567713947188622
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_glycemia_ir,2490.0,0.9216239384786002,0.8995179178216639
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_ir_lipid,2397.0,0.8477366396405913,0.894835599197345
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,msi_pca,2491.0,0.9962885156513616,0.996696663947588
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,homa_ir_single,2446.0,0.8176279568530357,0.8490435276250583
msi_corr,,,,,,,,NHANES,,,,,msi_core_partial,tg_hdl_single,2418.0,0.626402570060753,0.6754318054135525
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,msi_ranknorm,2368.0,0.9533566551129022,0.9825744540594504
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,msi_no_bmi,2368.0,0.9661632397737944,0.957091072236579
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,msi_glycemia_ir,2368.0,0.9200690764122114,0.9002257799768328
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,msi_ir_lipid,2368.0,0.8502939699366447,0.8956978336568694
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,msi_pca,2368.0,0.9962606176373436,0.9967889119379696
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,homa_ir_single,2368.0,0.8222954301852516,0.849872599719669
msi_corr,,,,,,,,NHANES,,,,,msi_core_complete,tg_hdl_single,2368.0,0.6276895355791803,0.6762177355331633
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,msi_no_bmi,2466.0,0.9040628705281762,0.9563442868746396
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,msi_glycemia_ir,2490.0,0.8389447800238168,0.9288820933546054
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,msi_ir_lipid,2397.0,0.8691403045011356,0.8666611358526835
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,msi_pca,2491.0,0.939783484434514,0.9865850551319294
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,homa_ir_single,2446.0,0.8373092959838766,0.8384941765185678
msi_corr,,,,,,,,NHANES,,,,,msi_ranknorm,tg_hdl_single,2418.0,0.6434671751117471,0.6415171547147945
msi_corr,,,,,,,,NHANES,,,,,msi_no_bmi,msi_glycemia_ir,2466.0,0.9551812587936028,0.9185613319813128
msi_corr,,,,,,,,NHANES,,,,,msi_no_bmi,msi_ir_lipid,2397.0,0.8313582453455939,0.9188637108120092
msi_corr,,,,,,,,NHANES,,,,,msi_no_bmi,msi_pca,2466.0,0.9775274039788552,0.965021015294426
msi_corr,,,,,,,,NHANES,,,,,msi_no_bmi,homa_ir_single,2446.0,0.7730930718770653,0.8262974791025061
msi_corr,,,,,,,,NHANES,,,,,msi_no_bmi,tg_hdl_single,2417.0,0.6444745518856757,0.7372687227240716
msi_corr,,,,,,,,NHANES,,,,,msi_glycemia_ir,msi_ir_lipid,2397.0,0.6706640604754962,0.7589671292579783
msi_corr,,,,,,,,NHANES,,,,,msi_glycemia_ir,msi_pca,2490.0,0.9515385544538192,0.930904978661568
msi_corr,,,,,,,,NHANES,,,,,msi_glycemia_ir,homa_ir_single,2446.0,0.7557886769303552,0.8699519481785118
msi_corr,,,,,,,,NHANES,,,,,msi_glycemia_ir,tg_hdl_single,2417.0,0.3869194246352726,0.43954337033862
msi_corr,,,,,,,,NHANES,,,,,msi_ir_lipid,msi_pca,2397.0,0.8217570344582813,0.8836556562660169
msi_corr,,,,,,,,NHANES,,,,,msi_ir_lipid,homa_ir_single,2397.0,0.8521839401864587,0.8451008062376687
msi_corr,,,,,,,,NHANES,,,,,msi_ir_lipid,tg_hdl_single,2397.0,0.8527308162164365,0.8506019055048014
msi_corr,,,,,,,,NHANES,,,,,msi_pca,homa_ir_single,2446.0,0.8163648323605035,0.8649211027742479
msi_corr,,,,,,,,NHANES,,,,,msi_pca,tg_hdl_single,2418.0,0.5833743841379629,0.6428442323930913
msi_corr,,,,,,,,NHANES,,,,,homa_ir_single,tg_hdl_single,2397.0,0.4533675608832054,0.4605778561505703
